. E Letter
_ T Letter
.. I Letter
._ A Letter
__ M Letter
_. N Letter
_.. D Letter
__. G Letter
_._ K Letter
___ O Letter
._. R Letter
... S Letter
.._ U Letter
.__ W Letter
_... B Letter
_._. C Letter
.._. F Letter
.... H Letter
.___ J Letter
._.. L Letter
.__. P Letter
__._ Q Letter
..._ V Letter
_.._ X Letter
_.__ Y Letter
__.. Z Letter
._._ Ä Non-English
..__ Ü Non-English
___. Ö Non-English
____ CH Non-English
.____ 1 Number
..___ 2 Number
...__ 3 Number
...._ 4 Number
..... 5 Number
_.... 6 Number
__... 7 Number
___.. 8 Number
____. 9 Number
_____ 0 Number
__.._ # Punctuation
_.._. / Punctuation
._... & Punctuation
._._. + Punctuation
_..._ = Punctuation
.__._ À Non-English
_._.. Ç Non-English
..__. Ð Non-English
._.._ È Non-English
.._.. É Non-English
__._. Ĝ Non-English
_.__. Ĥ Non-English
.___. Ĵ Non-English
__.__ Ñ Non-English
..._. Ŝ Non-English
.__.. Þ Non-English
_._._ <CT> Prosign
_.__.. ( Punctuation
_.__._ ) Punctuation
___... : Punctuation
._._._ . Punctuation
__..__ , Punctuation
..__.. ? Punctuation
.____. ' Punctuation
_._.__ ! Punctuation
_._._. ; Punctuation
_...._ - Punctuation
..__._ _ Punctuation
._.._. " Punctuation
.__._. @ Punctuation
